column, desc, unit\PPO:L-TK004_RS_12HR_SQL, TK004 Reactive Sulphur 12hrly, %
PPO:AC002:PIC075-SP, AC#2 Press., kPag
PPO:AC2:%O2_PRESS-PV, AC#2 Pressure @ %O2 Over Pressure, kPag
PPO:AC2:%O2_PRESS-SPT, AC#2 Pressure SetPoint @ %O2 Over Pres., kPag
PPO:AC2004:PIC7065_ROC, AC#2 Pressure Rate of Change, kPa
PPO:PV002:PI131, AC#2 Choke Press., kPag
PPO:AC002:LIC075-MODE, AC#2 Comp6 Level,  
PPO:AC002:LIC075-OP, AC#2 Comp6 Level, %
PPO:AC002:LIC075-PV, AC#2 Comp6 Level, %
PPO:AC002:LIC075-SP, AC#2 Comp6 Level, %
PPO:PV002:ZI131, AC#2 Letdown Valve, %
PPO:PV002:HIC131-FF, AC#2 Level Valve Cntrl via Choke H2O-Feedforward, m3/h
PPO:PV002:HIC131-MODE, AC#2 Level Valve Cntrl via Choke H2O-Mode,  
PPO:PV002:HIC131-OP, AC#2 Level Valve Cntrl via Choke H2O-Output, m3/h
PPO:PV002:HIC131-PV, AC#2 Level Valve Cntrl via Choke H2O-Meas, %
PPO:PV002:HIC131-SP, AC#2 Level Valve Cntrl via Choke H2O-Setpoint, %
PPO:AC002:HV439B, AC#2 PU034 Slurry Fd Valve,  
PPO:AC002:HV341B, AC#2 PU802 Slurry Fd Valve,  
PPO:AC002:PI079, AC#2 Quench Flow Press., kPag
PPO:PV002:FIC131-MODE, AC#2 Quench Choke Flow Mode,  
PPO:PV002:FIC131-OP, AC#2 Quench Choke Flow Output, %
PPO:PV002:FIC131-PV, AC#2 Quench Choke Flow Meas, m3/h
PPO:PV002:FIC131-SP, AC#2 Quench Choke Flow Setpoint, m3/h
PPO:AG021:FIC431-MODE, AC#2 Comp1a Quench Flow,  
PPO:AG021:FIC431-OP, AC#2 Comp1a Quench Flow, %
PPO:AG021:FIC431-PV, AC#2 Comp1a Quench Flow, m3/h
PPO:AG021:FIC431-SP, AC#2 Comp1a Quench Flow, m3/h
PPO:AG022:FIC432-MODE, AC#2 Comp1b Quench Flow,  
PPO:AG022:FIC432-OP, AC#2 Comp1b Quench Flow, %
PPO:AG022:FIC432-PV, AC#2 Comp1b Quench Flow, m3/h
PPO:AG022:FIC432-SP, AC#2 Comp1b Quench Flow, m3/h
PPO:AG023:FIC433-MODE, AC#2 Comp1c Quench Flow,  
PPO:AG023:FIC433-OP, AC#2 Comp1c Quench Flow, %
PPO:AG023:FIC433-PV, AC#2 Comp1c Quench Flow, m3/h
PPO:AG023:FIC433-SP, AC#2 Comp1c Quench Flow, m3/h
PPO:AG024:FIC434-MODE, AC#2 Comp2 Quench Flow,  
PPO:AG024:FIC434-OP, AC#2 Comp2 Quench Flow, %
PPO:AG024:FIC434-PV, AC#2 Comp2 Quench Flow, m3/h
PPO:AG024:FIC434-SP, AC#2 Comp2 Quench Flow, m3/h
PPO:AG025:FIC435-MODE, AC#2 Comp3 Quench Flow,  
PPO:AG025:FIC435-OP, AC#2 Comp3 Quench Flow, %
PPO:AG025:FIC435-PV, AC#2 Comp3 Quench Flow, m3/h
PPO:AG025:FIC435-SP, AC#2 Comp3 Quench Flow, m3/h
PPO:AG026:FIC436-MODE, AC#2 Comp4 Quench Flow,  
PPO:AG026:FIC436-OP, AC#2 Comp4 Quench Flow, %
PPO:AG026:FIC436-PV, AC#2 Comp4 Quench Flow, m3/h
PPO:AG026:FIC436-SP, AC#2 Comp4 Quench Flow, m3/h
PPO:AG027:FIC437-MODE, AC#2 Comp5 Quench Flow,  
PPO:AG027:FIC437-OP, AC#2 Comp5 Quench Flow, %
PPO:AG027:FIC437-PV, AC#2 Comp5 Quench Flow, m3/h
PPO:AG027:FIC437-SP, AC#2 Comp5 Quench Flow, m3/h
PPO:AG028:FIC438-MODE, AC#2 Comp6 Quench Flow,  
PPO:AG028:FIC438-OP, AC#2 Comp6 Quench Flow, %
PPO:AG028:FIC438-PV, AC#2 Comp6 Quench Flow, m3/h
PPO:AG028:FIC438-SP, AC#2 Comp6 Quench Flow, m3/h
PPO:AC002-FI079, AC#2 Total Quench Water Flow, m3/h
PPO:AC002:FI078, AC#2 Oxygen Flow, m3/h
PPO:AC002:PI078, AC#2 O2_Header Press., kPag
PPO:AC002:TI078, AC#2 Oxygen Temp., DegC
PPO:AC002:WI078A, AC#2 Oxygen Mass Flow, kg/h
PPO:AC002_O2_S2_THEOR, AC#2 O2:S2 Theoretical Ratio, %
PPO:AC2:%O2_OVPRS-PV, AC#2 %O2 OverPressure Calc Out, %O2
PPO:AC2:%O2_OVPRS-SPT, AC#2 %O2 OverPressure SetPoint, %O2
PPO:AC2002:TI078_CNT, AC#2 Oxygen Temperature Alarm RoC, DegC
PPO:AG021:WIC441-MODE, AC#2 Comp1a Oxygen Flow,  
PPO:AG021:WIC441-OP, AC#2 Comp1a Oxygen Flow, %
PPO:AG021:WIC441-PV, AC#2 Comp1a Oxygen Flow, kg/h
PPO:AG021:WIC441-SP, AC#2 Comp1a Oxygen Flow, kg/h
PPO:AG022:WIC442-MODE, AC#2 Comp1b Oxygen Flow,  
PPO:AG022:WIC442-OP, AC#2 Comp1b Oxygen Flow, %
PPO:AG022:WIC442-PV, AC#2 Comp1b Oxygen Flow, kg/h
PPO:AG022:WIC442-SP, AC#2 Comp1b Oxygen Flow, kg/h
PPO:AG023:WIC443-MODE, AC#2 Comp1c Oxygen Flow,  
PPO:AG023:WIC443-OP, AC#2 Comp1c Oxygen Flow, %
PPO:AG023:WIC443-PV, AC#2 Comp1c Oxygen Flow, kg/h
PPO:AG023:WIC443-SP, AC#2 Comp1c Oxygen Flow, kg/h
PPO:AG024:WIC444-MODE, AC#2 Comp2 Oxygen Flow,  
PPO:AG024:WIC444-OP, AC#2 Comp2 Oxygen Flow, %
PPO:AG024:WIC444-PV, AC#2 Comp2 Oxygen Flow, kg/h
PPO:AG024:WIC444-SP, AC#2 Comp2 Oxygen Flow, kg/h
PPO:AG025:WIC445-MODE, AC#2 Comp3 Oxygen Flow,  
PPO:AG025:WIC445-OP, AC#2 Comp3 Oxygen Flow, %
PPO:AG025:WIC445-PV, AC#2 Comp3 Oxygen Flow, kg/h
PPO:AG025:WIC445-SP, AC#2 Comp3 Oxygen Flow, kg/h
PPO:AG026:WIC446-MODE, AC#2 Comp4 Oxygen Flow,  
PPO:AG026:WIC446-OP, AC#2 Comp4 Oxygen Flow, %
PPO:AG026:WIC446-PV, AC#2 Comp4 Oxygen Flow, kg/h
PPO:AG026:WIC446-SP, AC#2 Comp4 Oxygen Flow, kg/h
PPO:AG027:FI447, AC#2 Comp5 Oxygen Flow, m3/h
PPO:AG027:WIC447-MODE, AC#2 Comp5 Oxygen Flow,  
PPO:AG027:WIC447-OP, AC#2 Comp5 Oxygen Flow, %
PPO:AG027:WIC447-PV, AC#2 Comp5 Oxygen Flow, kg/h
PPO:AG027:WIC447-SP, AC#2 Comp5 Oxygen Flow, kg/h
PPO:AG028:WIC448-MODE, AC#2 Comp6 Oxygen Flow,  
PPO:AG028:WIC448-OP, AC#2 Comp6 Oxygen Flow, %
PPO:AG028:WIC448-PV, AC#2 Comp6 Oxygen Flow, kg/h
PPO:AG028:WIC448-SP, AC#2 Comp6 Oxygen Flow, kg/h
PPO:Old2:%Target, AC#2 % Overpressure, m3/h
PPO:Old2:Calc % O2, AC#2 % Overpressure, %
PPO:T-AC002:WQ078, AC#2 Total O2 Flow, tonnes
PPO:T-PU802:WY892D, AC#2 Total Mass Flow, tonnes
PPO:WC002:WX002-TOT, AC#2 O2 Total Oxygen Setpoint, %
PPO:AC002:ORP_MANUAL, AC002 ORP MANUAL ENTRY, mV
PPO:AC002:TIC431_PV, AC#2 Comp1a Temp. (soft sensor calc), DegC
PPO:AC002_%S2_IN_ACF, AC#2 %S2 in ACF, %
PPO:AC003:ORP_MANUAL, AC003 ORP MANUAL ENTRY, mV
PPO:L-ACD2_As_12HR, AC#2 Disch As 12hrly, ppm
PPO:L-ACD2_As_12HR_SQL, AC#2 Disch As 12hrly, ppm
PPO:L-ACD2_AU_12HR, AC#2 Disch Au 12hrly, ppm
PPO:L-ACD2_AU_12HR_SQL, AC#2 Disch Au 12hrly, ppm
PPO:L-ACD2_CL_12HR, AC#2 Disch Cl 12hrly, ppm
PPO:L-ACD2_CL_12HR_SQL, AC#2 Disch Cl 12hrly, ppm
PPO:L-ACD2_FE2_12HR, AC#2 Disch Fe2 12hrly, g/l
PPO:L-ACD2_FE2_12HR_SQL, AC#2 Disch Fe2 12hrly, g/l
PPO:L-ACD2_FE2_2HR, AC#2 Disch Fe3 2hrly, g/l
PPO:L-ACD2_FE3_12HR, AC#2 Disch Fe3 12hrly, g/l
PPO:L-ACD2_FE3_12HR_SQL, AC#2 Disch Fe3 12hrly, g/l
PPO:L-ACD2_FE3_2HR, AC#2 Disch Fe3 2hrly, g/l
PPO:L-ACD2_H2SO4_12HR, AC#2 Disch H2SO4 12hrly, g/l
PPO:L-ACD2_H2SO4_12HR_SQL, AC#2 Disch H2SO4 12hrly, g/l
PPO:L-ACD2_H2SO4_3HR, AC2 disch H2SO4 3Hrly, g/l
PPO:L-ACD2_H2SO4_3HR_SQL, AC2 disch H2SO4 3Hrly, g/l
PPO:L-ACD2_ORP_12HR, AC#2 Disch ORP 12hrly, mV
PPO:L-ACD2_ORP_12HR_SQL, AC#2 Disch ORP 12hrly, mV
PPO:L-ACD2_ORP_3HR, AC#2 Disch ORP (mV), mV
PPO:L-ACD2_ORP_3HR_SQL, AC#2 Disch ORP (mV), mV
PPO:L-ACD2_PH_12HR, AC#2 Disch pH 12hrly, pH
PPO:L-ACD2_PH_12HR_SQL, AC#2 Disch pH 12hrly, pH
PPO:L-ACD2_R_S2_12HR, AC#2 Disch S2 12hrly Dup, %
PPO:L-ACD2_R_S2_12HR_SQL, AC#2 Disch S2 12hrly Dup, %
PPO:L-ACD2_R2_S2_12HR, AC#2 Disch S2 12hrly Dup, %
PPO:L-ACD2_R3_S2_12HR, AC#2 Disch S2 12hrly, %
PPO:L-ACD2_RS_12HR_SQL, AC#2 Disch Reactive Sulphur 12hrly, %
PPO:L-ACD2_RS_3HR_SQL, AC#2 Disch Reactive Sulphur 3hrly, %
PPO:L-ACD2_S2_12HR, AC#2 Disch S2 12hrly, %
PPO:L-ACD2_S2_12HR_SQL, AC#2 Disch S2 12hrly, %
PPO:L-ACD2_S2_2HR, AC#2 Disch S2 2hrly, %
PPO:L-ACD2_S2_2HR_SQL, AC#2 Disch S2 2hrly, %
PPO:PU034:FI062, AC#2 Fd_Pmp1 Flow, m3/h
PPO:PU034:FI062_TOTAL, AC#2 Fd_Pmp1 Flow Totaliser, m3
PPO:PU034:PI062, AC#2 Fd_Pmp1 Suct Press., kPag
PPO:PU034:SI062, AC#2 Fd_Pmp1 Speed, %
PPO:PU034:SIC062-BIAS, AC#2 Fd_Pmp1 Spd Ctrl, %
PPO:PU034:SIC062-MODE, AC#2 Fd_Pmp1 Spd Ctrl,  
PPO:PU034:SIC062-OP, AC#2 Fd_Pmp1 Spd Ctrl, %
PPO:PU034:SIC062-PV, AC#2 Fd_Pmp1 Spd Ctrl, %
PPO:PU034:UI062, AC#2 Fd_Pmp1 Vol. Flow Eff., %
PPO:PU034:WI062, AC#2 Fd_Pmp1 Mass_Flow, t/h
PPO:PU034A-AMPS, AC#2 Fd_Pmp1 LO_Pmp, Amps
PPO:PU034-AMPS, AC#2 Fd_Pmp1 Current, Amps
PPO:PU034A-STAT, AC#2 Fd_Pmp1 LO_Pmp,  
PPO:PU034B-AMPS, AC#2 Fd_Pmp1 Prop.Liquid_Pmp, Amps
PPO:PU034B-STAT, AC#2 Fd_Pmp1 Prop_Liq_Pmp,  
PPO:PU034-SPD, AC#2 Fd_Pmp1 Speed, %
PPO:PU034-STAT, AC#2 Fd_Pmp1,  
PPO:PU035:FI045, Total autoclave Feed Flow, m3/h
PPO:PU035:WI045, Total autoclave Feed T/H, t/h
PPO:PU035:WY063_SOLIDS, PU035 MASS FLOW CALCULATIONS, %
PPO:PU035-THEOR_FLOW, PU035 Theoretical Flow, m3/h
PPO:PU084-HRS, PRES Pmp2, hrs
PPO:PU084-STAT, PRES Pmp2,  
PPO:PU802:FI892, AC#2 Fd_Pmp2 Flow, m3/h
PPO:PU802:FI892_TOTAL, AC#2 Fd_Pmp2 Flow Totaliser, m3
PPO:PU802:PI892, AC#2 Fd_Pmp2 Suct Press., kPag
PPO:PU802:PI892A, AC#2 Fd_Pmp2 Propel Liq Press, kPag
PPO:PU802:PI892B, AC#2 Fd_Pmp2 Dischag Press, kPag
PPO:PU802:SI892A, AC#2 Fd_Pmp2 Actual Speed, spm
PPO:PU802:SI892Z, AC#2 Fd_Pmp2 Speed, spm
PPO:PU802:SIC892-BIAS, AC#2 Fd_Pmp2 Spd Ctrl, %
PPO:PU802:SIC892-MODE, AC#2 Fd_Pmp2 Spd Ctrl,  
PPO:PU802:SIC892-OP, AC#2 Fd_Pmp2 Spd Ctrl, %
PPO:PU802:SIC892-PV, AC#2 Fd_Pmp2 Spd Ctrl, %
PPO:PU802:UI892, AC#2 Fd_Pmp2 Vol. Flow Eff., %
PPO:PU802:WI892, AC#2 Fd_Pmp2 Mass_Flow, t/h
PPO:PU802A-AMPS, AC#2 Fd_Pmp2 LO_Pmp, Amps
PPO:PU802-AMPS, AC#2 Fd_Pmp2 Current, Amps
PPO:PU802A-STAT, AC#2 Fd_Pmp2 LO_Pmp,  
PPO:PU802B-AMPS, AC#2 Fd_Pmp2 Prop_Liq Pmp, Amps
PPO:PU802B-STAT, AC#2 Fd_Pmp2 Prop_Liq Pmp,  
PPO:PU802-SPD, AC#2 Fd_Pmp2 Speed, %
PPO:PU802-STAT, AC#2 Fd_Pmp2,  
PPO:PU802-THEOR_FLOW, PU802 Theoretical Flow, m3/h
PPO:T-PU034:WQ062, AC#2 Fd_Pmp1 Tot Mass_Flow, tonnes
PPO:T-PU802:WQ892, AC#2 Fd_Pmp2 Tot Mass_Flow, tonnes
PPO:PV002:LI132, AC#2 Flash_Vsl Level, %
PPO:PV002:PI132, AC#2 Flash_Vsl Press., kPag
PPO:AC002:HV132A, PV003 Autoclave DISCHARGE FLASH VESSEL Vlv 1a,  
PPO:AC002:HV132B, PV003 Autoclave DISCHARGE FLASH VESSEL Vlv 1a,  
PPO:Autoclave3_Rate_RawFeed-PPMS, PPMS Autoclave 3 Rate (Raw Feed), tph
PPO:PV003:FI143, AC#3 Scrubber Sea Wtr Flow, m3/h
PPO:Autoclave3_Rate_Target-PPMS, PPMS Autoclave 3 Rate Target, tph
PPO:PV003:FI144, AC#3 Scrubber Sea Wtr Flow, m3/h
PPO:Autoclave3_Util-PPMS, PPMS Autoclave 3 Utilization Trigger,  
PPO:PV003:FIC143-MODE, AC3 Exit Duct SW Flow Controller,  
PPO:PU035:WI063B, AC#3 Feed Density, %
PPO:PV003:FIC143-OP, AC3 Exit Duct SW Flow Controller, %
PPO:PU035-STAT, AC#3 Fd_Pmp1,  
PPO:PV003:FIC143-PV, AC3 Exit Duct SW Flow Controller, m3/h
PPO:PU803:WIC893-MODE, AC#3 Feed Flow,  
PPO:PV003:FIC143-SP, AC3 Exit Duct SW Flow Controller, m3/h
PPO:PU803:WIC893-OP, AC#3 Feed Flow, %
PPO:PV003:PIC144-MODE, AC#3 Scrubber Press.,  
PPO:PU803:WIC893-PV, AC#3 Feed Flow, t/h
PPO:PV003:PIC144-OP, AC#3 Scrubber Press., %
PPO:PU803:WIC893-SP, AC#3 Feed Flow, t/h
PPO:PV003:PIC144-PV, AC#3 Scrubber Press., kPag
PPO:PU803-STAT, AC#3 Fd_Pmp2,  
PPO:PV003:PIC144-SP, AC#3 Scrubber Press., kPag
PPO:T-PU803:WY893D, AC#3 Total Mass Flow, tonnes
PPO:PV003:TIC142-MODE, AC#3 Exit_Duct Temp.,  
PPO:WIC893_TST-PV, AC-3 FEED MASS FLOW, T/h
PPO:PV003:TIC142-OP, AC#3 Exit_Duct Temp., m3/hr
PPO:WY063_TST-ROUT, AC-3 FEED % SOLIDS, %
PPO:PV003:TIC142-PV, AC#3 Exit_Duct Temp., DegC
PPO:PV003:TIC142-SP, AC#3 Exit_Duct Temp., DegC
PPO:AC003:HV142A_PV, AC#3 Slurry DsChg Vlv 1a Open/Close Position InDi, %
PPO:AC003:HV142A_SV, AC#3 Slurry DsChg Vlv 1a Open/Close Differential Pres, psi
PPO:AC003:HV142A_ZI, AC#3 Slurry DsChg Vlv 1a Open/Close Position FdBk, %
PPO:AC003:HV142B_PV, AC#3 Slurry DsChg Vlv 1b Open/Close Position InDi, %
PPO:AC003:HV142B_SV, AC#3 Slurry DsChg Vlv 1b Open/Close Differential Pres, psi
PPO:AC003:HV142B_ZI, AC#3 Slurry DsChg Vlv 1b Open/Close Position FdBk, %
PPO:AC003:HV351A, AC#3 SLURRY FEED Vlv 1a,  
PPO:AC003:HV351A_PV, AC#3 Slurry Fd Vlv 1a Open/Close Position InDi, %
PPO:AC003:HV351A_SV, AC#3 Slurry Fd Vlv 1a Open/Close Differential Pres, psi
PPO:AC003:HV351A_ZI, AC#3 Slurry Fd Vlv 1a Open/Close Position FdBk, %
PPO:AC003:HV351B, AC#3 PU803 Slurry Fd Valve,  
PPO:AC003:HV351B_PV, AC#3 Slurry Fd Vlv 1b Open/Close Position InDi, %
PPO:AC003:HV351B_SV, AC#3 Slurry Fd Vlv 1b Open/Close Differential Pres, psi
PPO:AC003:HV351B_ZI, AC#3 Slurry Fd Vlv 1b Open/Close Position FdBk, %
PPO:AC003:HV351B1, AC#3 SLURRY FEED Vlv 1b,  
PPO:AC003:HV469A, AC#3 SLURRY FEEDVlv 2a,  
PPO:AC003:HV469A_PV, AC#3 Slurry Fd Vlv 2a Open/Close Position InDi, %
PPO:AC003:HV469A_SV, AC#3 Slurry Fd Vlv 2a Open/Close Differential Pres, psi
PPO:AC003:HV469A_ZI, AC#3 Slurry Fd Vlv 2a Open/Close Position FdBk, %
PPO:AC003:HV469B, AC#3 PU035 Slurry Fd Valve,  
PPO:AC003:HV469B_PV, AC#3 Slurry Fd Vlv 2b Open/Close Position InDi, %
PPO:AC003:HV469B_SV, AC#3 Slurry Fd Vlv 2b Open/Close Differential Pres, psi
PPO:AC003:HV469B_ZI, AC#3 Slurry Fd Vlv 2b Open/Close Position FdBk, %
PPO:AC003:HV469B1, AC#3 SLURRY FEEDVlv 2b,  
PPO:PV003:HV142A, AC#3 Big Red Disch Valve,  
PPO:PV003:HV142B, AC#3 AUMA Disch Valve,  
PPO:AG031:IIC461-MODE, AC#3 Comp1a Agit. Amps,  
PPO:AG031:IIC461-OP, AC#3 Comp1a Agit. Amps, %
PPO:AG031:IIC461-PV, AC#3 Comp1a Agit. Amps, Amps
PPO:AG031:IIC461-SP, AC#3 Comp1a Agit. Amps, Amps
PPO:AG031:JI461_CALC-PWR, AG031 Calculated Power, kW
PPO:AG031:JI461-PWR, AG031 Power - AC#3 Comp1A, kW
PPO:AG031:SI461-RPM, AG031 Impeller Speed RPM , rpm
PPO:AG031-HRS, AC#3 Comp1a Agit., hrs
PPO:AG031SPD, AC#3 Comp1a Agit. Speed, %
PPO:AG031-STAT, AC#3 Comp1a Agit.,  
PPO:AG032:IIC462-MODE, AC#3 Comp1b Agit. Amps,  
PPO:AG032:IIC462-OP, AC#3 Comp1b Agit. Amps, %
PPO:AG032:IIC462-PV, AC#3 Comp1b Agit. Amps, Amps
PPO:AG032:IIC462-SP, AC#3 Comp1b Agit. Amps, Amps
PPO:AG032:JI462_CALC-PWR, AG032 Calculated Power, kW
PPO:AG032:JI462-PWR, AG032 Power - AC#3 Comp1B, kW
PPO:AG032:SI462-RPM, AG032 Impeller Speed RPM , rpm
PPO:AG032-HRS, AC#3 Comp1b Agit., hrs
PPO:AG032-SPD, AC#3 Comp1b Agit. Speed, %
PPO:AG032-STAT, AC#3 Comp1b Agit.,  
PPO:AG033:IIC463-MODE, AC#3 Comp1c Agit. Amps,  
PPO:AG033:IIC463-OP, AC#3 Comp1c Agit. Amps, %
PPO:AG033:IIC463-PV, AC#3 Comp1c Agit. Amps, Amps
PPO:AG033:IIC463-SP, AC#3 Comp1c Agit. Amps, Amps
PPO:AG033:JI463_CALC-PWR, AG033 Calculated Power, kW
PPO:AG033:JI463-PWR, AG033 Power - AC#3 Comp1C, kW
PPO:AG033:SI463-RPM, AG033 Impeller Speed RPM , rpm
PPO:AG033-HRS, AC#3 Comp1c Agit., hrs
PPO:AG033-SPD, AC#3 Comp1c Agit. Speed, %
PPO:AG033-STAT, AC#3 Comp1c Agit.,  
PPO:AG034:IIC464-MODE, AC#3 Comp2 Agit. Amps,  
PPO:AG034:IIC464-OP, AC#3 Comp2 Agit. Amps, %
PPO:AG034:IIC464-PV, AC#3 Comp2 Agit. Amps, Amps
PPO:AG034:IIC464-SP, AC#3 Comp2 Agit. Amps, Amps
PPO:AG034:JI464_CALC-PWR, AG034 Calculated Power, kW
PPO:AG034:JI464-PWR, AG034 Power - AC#3 Comp2, kW
PPO:AG034:SI464-RPM, AG034 Impeller Speed RPM , rpm
PPO:AG034-HRS, AC#3 Comp2 Agit., hrs
PPO:AG034-SPD, AC#3 Comp2 Agit. Speed, %
PPO:AG034-STAT, AC#3 Comp2 Agit.,  
PPO:AG035:IIC465-MODE, AC#3 Comp3 Agit. Amps,  
PPO:AG035:IIC465-OP, AC#3 Comp3 Agit. Amps, %
PPO:AG035:IIC465-PV, AC#3 Comp3 Agit. Amps, Amps
PPO:AG035:IIC465-SP, AC#3 Comp3 Agit. Amps, Amps
PPO:AG035:JI465_CALC-PWR, AG035 Calculated Power, kW
PPO:AG035:JI465-PWR, AG035 Power - AC#3 Comp3, kW
PPO:AG035:SI465-RPM, AG035 Impeller Speed RPM , rpm
PPO:AG035-HRS, AC#3 Comp3 Agit., hrs
PPO:AG035-SPD, AC#3 Comp3 Agit. Speed, %
PPO:AG035-STAT, AC#3 Comp3 Agit.,  
PPO:AG036-AMPS, AC#3 Comp4 Agit. Amps, Amps
PPO:AG036-HRS, AC#3 Comp4 Agit., hrs
PPO:AG036-STAT, AC#3 Comp4 Agit.,  
PPO:AG037-AMPS, AC#3 Comp5 Agit. Amps, Amps
PPO:AG037-HRS, AC#3 Comp5 Agit., hrs
PPO:AG037-STAT, AC#3 Comp5 Agit.,  
PPO:AG038-AMPS, AC#3 Comp6 Agit. Amps, Amps
PPO:AG038-HRS, AC#3 Comp6 Agit., hrs
PPO:AG038-STAT, AC#3 Comp6 Agit.,  
PPO:AC003:TI088, AC#3 Oxygen Temp., DegC
PPO:AC003:TIC461_PV, AC#3 Comp1a Temp. (soft sensor calc), DegC
PPO:AC3:AVEG-TEMP, AC#3 Average Temperature, DegC
PPO:AG031:TIC461_ROC, AC-3 Comp. 1A Temp. ROC, 
PPO:AG031:TIC461-MODE, AC#3 Comp1a Temp.,  
PPO:AG031:TIC461-OP, AC#3 Comp1a Temp., m3/h
PPO:AG031:TIC461-PV, AC#3 Comp. 1A Temp., DegC
PPO:AG031:TIC461-ROC, AC#3 Comp. 1A Temp. ROC, 
PPO:AG031:TIC461-SP, AC#3 Comp1a Temp., DegC
PPO:AG032:TIC462_ROC, AC-3 Comp. 1B Temp. ROC, 
PPO:AG032:TIC462-MODE, AC#3 Comp1b Temp.,  
PPO:AG032:TIC462-OP, AC#3 Comp1b Temp., m3/h
PPO:AG032:TIC462-PV, AC#3 Comp. 1B Temp., DegC
PPO:AG032:TIC462-ROC, AC#3 Comp. 1B Temp. ROC, 
PPO:AG032:TIC462-SP, AC#3 Comp1b Temp., DegC
PPO:AG033:TIC463_ROC, AC-3 Comp. 1C Temp. ROC, 
PPO:AG033:TIC463-MODE, AC#3 Comp1c Temp.,  
PPO:AG033:TIC463-OP, AC#3 Comp1c Temp., m3/h
PPO:AG033:TIC463-PV, AC#3 Comp. 1C Temp., DegC
PPO:AG033:TIC463-ROC, AC#3 Comp. 1C Temp. ROC, 
PPO:AG033:TIC463-SP, AC#3 Comp1c Temp., DegC
PPO:AG034:TIC464_ROC, AC-3 Comp. 2 Temp. ROC, 
PPO:AG034:TIC464-MODE, AC#3 Comp2 Temp.,  
PPO:AG034:TIC464-OP, AC#3 Comp2 Temp., m3/h
PPO:AG034:TIC464-PV, AC#3 Comp. 2 Temp., DegC
PPO:AG034:TIC464-ROC, AC#3 Comp. 2 Temp. ROC, 
PPO:AG034:TIC464-SP, AC#3 Comp2 Temp., DegC
PPO:AG035:TIC465_ROC, AC-3 Comp. 3 Temp. ROC, 
PPO:AG035:TIC465-MODE, AC#3 Comp3 Temp.,  
PPO:AG035:TIC465-OP, AC#3 Comp3 Temp., m3/h
PPO:AG035:TIC465-PV, AC#3 Comp. 3 Temp., DegC
PPO:AG035:TIC465-ROC, AC#3 Comp. 3 Temp. ROC, 
PPO:AG035:TIC465-SP, AC#3 Comp3 Temp., DegC
PPO:AG036:TIC466_ROC, AC-3 Comp. 4 Temp. ROC, 
PPO:AG036:TIC466-MODE, AC#3 Comp4 Temp.,  
PPO:AG036:TIC466-OP, AC#3 Comp4 Temp., m3/h
PPO:AG036:TIC466-PV, AC#3 Comp. 4 Temp., DegC
PPO:AG036:TIC466-ROC, AC#3 Comp. 4 Temp. ROC, 
PPO:AG036:TIC466-SP, AC#3 Comp4 Temp., DegC
PPO:AG037:TIC467_ROC, AC-3 Comp. 5 Temp. ROC, 
PPO:AG037:TIC467-MODE, AC#3 Comp5 Temp.,  
PPO:AG037:TIC467-OP, AC#3 Comp5 Temp., m3/h
PPO:AG037:TIC467-PV, AC#3 Comp. 5 Temp., DegC
PPO:AG037:TIC467-ROC, AC#3 Comp. 5 Temp. ROC, 
PPO:AG037:TIC467-SP, AC#3 Comp5 Temp., DegC
PPO:AG038:TIC468_ROC, AC-3 Comp. 6 Temp. ROC, 
PPO:AG038:TIC468-MODE, AC#3 Comp6 Temp.,  
PPO:AG038:TIC468-OP, AC#3 Comp6 Temp., m3/h
PPO:AG038:TIC468-PV, AC#3 Comp. 6 Temp., DegC
PPO:AG038:TIC468-ROC, AC#3 Comp. 6 Temp. ROC, 
PPO:AG038:TIC468-SP, AC#3 Comp6 Temp., DegC
PPO:Old3:AverageTemp, AC#3 weighted Average Temperature, DegC
PPO:PV003:TI141_RMV, AC#3 Choke Temp., DegC
PPO:AC003:FI085, AC#3 Vent Flow, m3/h
PPO:AC003:PIC085_ROC, AC#3 Pressure Rate of Change, kPa
PPO:AC003:PIC085-MODE, AC#3 Press.,  
PPO:AC003:PIC085-OP, AC#3 Press., %
PPO:AC003:PIC085-PV, AC#3 Press., kPag
PPO:AC003:PIC085-ROC, AC#3 Press. ROC, kPa
PPO:AC003:PIC085-SP, AC#3 Press., kPag
PPO:AC003:TI063-C6, AC#3 Comp6 VapourPh Temp., DegC
PPO:AC003:TI470, AC#3 Vapour Phase Temp., DegC
PPO:AC3:%O2_OVPRS-PV, AC#3 %O2 OverPressure Calc Out, %O2
PPO:AC3:%O2_OVPRS-SPT, AC#3 %O2 OverPressure SetPoint, %O2
PPO:AC3:%O2_PRESS-PV, AC#3 Pressure @ %O2 Over Pressure, kPag
PPO:AC3:%O2_PRESS-SPT, AC#3 Pressure SetPoint @ %O2 Over Pres., kPag
PPO:AC3:VPHAS-TEMP, AC#3 Vapour Phase Temperature, DegC
PPO:Old3: Calc % O2, AC#3 % Overpressure, %
PPO:Old3:%Target, AC#3 % Overpressure, m3/h
PPO:Old3:SptPressure, AC#3 Setpoint Pressure, kPag
PPO:AC003:LI085-AMP, AC#3 Comp6 Level From AG038 Amps, %
PPO:AC003:LI085-RAD, AC#3 Comp6 Level From Nucleonic, %
